,index,createdAt,entity,entityType,label,chain_id,confidence,remove,alert_id,metadata
7015,0,2023-05-25 21:16:53.047822343+00:00,0xd105b646b120c003dee97a5eb8770279001ff9de,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7016,0,2023-05-25 21:16:53.047822343+00:00,0xac24c8b46ec8d3e5b340338f530db55222f987f9,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7017,0,2023-05-25 21:16:53.047822343+00:00,0x41ac4cf951651ddc68ced829710e3a44ea08be53,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7018,0,2023-05-25 21:16:53.047822343+00:00,0x52f9bd2588a5d64120f16ad7158bc33868280b05,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7019,0,2023-05-25 21:16:53.047822343+00:00,0x20295e681fb3ef44d6ac6d5b57e249db549e76be,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7020,0,2023-05-25 21:16:53.047822343+00:00,0x3a8564163a74875f59eb9567ab859e9df7256bd2,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7021,0,2023-05-25 21:16:53.047822343+00:00,0xde21e09d9800e9799580d09254776c6ab50b7f95,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7022,0,2023-05-25 21:16:53.047822343+00:00,0x742c0708b107c46ffe36d0e290fd6bdf8bd5938e,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7023,0,2023-05-25 21:16:53.047822343+00:00,0xc866e38e22f175a54096fe80a18005141544688c,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7024,0,2023-05-25 21:16:53.047822343+00:00,0x2a16f5020da329985b017c5bbdbaaed8bf360d76,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7025,0,2023-05-25 21:16:53.047822343+00:00,0x8a24094d5c8765243db2dc687b38dd3c1805eec5,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7026,0,2023-05-25 21:16:53.047822343+00:00,0xd7bdcb3b2b2fa29a9d823ffd51c490ad3ebf3647,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7027,0,2023-05-25 21:16:53.047822343+00:00,0x632ab0d98f1536527ae8d57282974ae643a15914,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7028,0,2023-05-25 21:16:53.047822343+00:00,0x7c2af636a08f4145814da0d1fafbb5858c7aff20,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7029,0,2023-05-25 21:16:53.047822343+00:00,0x72b7e55a21c2db19560396c53e9bdd947066e892,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7030,0,2023-05-25 21:16:53.047822343+00:00,0x4d7381af085030085cc637fd013ddbf232ae1dec,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7031,0,2023-05-25 21:16:53.047822343+00:00,0x301747e676da1c3d00e8fac3bbe2b617c43aafb9,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7032,0,2023-05-25 21:16:53.047822343+00:00,0x6944997eba808e6518e108c03fe3174e5f4d4fe2,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
7033,0,2023-05-25 21:16:53.047822343+00:00,0xbfacc257eb052ae8f68a764c82dc74b487e523c5,ADDRESS,scammer-contract,137,0.7,False,SCAM-DETECTOR-ICE-PHISHING,"['alert_ids=SCAM-DETECTOR-ICE-PHISHING', 'chain_id=137', 'deployer=0x4f171744973047296d90e7828676f4972fafb200', 'deployer_info=Deployer involved in SCAM-DETECTOR-ICE-PHISHING scam; this contract may or may not be related to this particular scam, but was created by the scammer.', 'threat_description_url=https://forta.org/attacks#ice-phishing']"
